P07170	1.8
P07172	0.51
P07213	11.99
P07236	2.38
P07244	0
P07245	0.1
P07246	6.93
P07248	58.88
P07249	55.36
P07250	11.54
P07251	8.8
P07252	6.57
P07253	12.34
P07255	5.08
P07256	5.03
P07257	4.61
P07258	3.16
P07259	5.96
P07260	16.43
P07261	48.53
P07262	0.22
P07263-2	11.21
P07263	14.65
P07264	12.06
P07266	11.84
P07267	4.93
P07269	63.14
P07270	71.79
P07271	37.13
P07272	30.08
P07273	21.03
P07274	0
P07275	4.52
P07276	56.45
P07277	0.67
P07278	22.83
P07280	1.38
P07281	2.08
P07283	2.36
P07284	3.03
P07285	1.05
P07286	3.57
P07342	22.7
P07347	23.52
P07390	15.54
P07560	19.06
P07702	9.48
P07703	0.29
P07806-2	9.16
P07806	13.31
P07807	2.36
P07834	32.6
P07866	68.5
P07884	9.81
P07991	1.17
P08004	35.98
P08018	51.64
P08019	4.37
P08067	16.74
P08153	83.35
P08417	9.63
P08425	4.69
P08431	7.1
P08432	12.44
P08456	21.37
P08458	27.55
P08459	16.53
P08465	22.83
P08466	20.36
P08468	8.37
P08518	8.41
P08521	0
P08524	1.7
P08525	7.44
P08536	0
P08539	6.77
P08566	2.89
P08593	2.98
P08638	37.47
P08640	88.36
P08678	41.51
P08679	5
P08964	54.87
P09007	45.24
P09032	21.62
P09064	43.5
P09119	17.73
P09201	4.88
P09232	31.02
P09368	13.65
P09435	6.47
P09436	2.7
P09440	3.58
P09457	9.9
P09547	55.63
P09620	29.62
P09624	4.4
P09733	4.47
P09734	3.14
P09798	28.8
P09880	9.55
P09932	2.55
P09937	22.48
P09938	29.32
P09950	14.41
P09959	43.08
P0C074	8.23
P0C0T4	29.62
P0C0V2	6.06
P0C0V8	3.44
P0C0W1	1.53
P0C0W9	4.02
P0C0X0	4.47
P0C155	9.81
P0C1V3	0
P0C1Z1	6.89
P0C261	3.87
P0C268	20.33
P0C269	2.56
P0C270	0
P0C271	12.5
P0C272	3.17
P0C289	0
P0C2H6	0.73
P0C2H7	0.73
P0C2H8	1.76
P0C2H9	1.76
P0C2I2	35.27
P0C2I3	35.38
P0C2I4	46.02
P0C2I5	35.49
P0C2I6	34.81
P0C2I7	34.7
P0C2I8	54.77
P0C2I9	35.15
P0C2J0	33.99
P0C2J1	34.24
P0C2J2	54.79
P0C2J3	35.64
P0C2J4	53.42
P0C2J5	41.67
P0C2J6	50.22
P0C2J7	32.07
P0C5B8	3.12
P0C5E0	7.57
P0C5E1	3.12
P0C5K9	0
P0C5L0	3.84
P0C5L1	3.84
P0C5L2	1.13
P0C5L3	2.12
P0C5L4	7.69
P0C5L5	0
P0C5L6	0
P0C5L7	5.26
P0C5L8	2.22
P0C5L9	8.33
P0C5M0	6.66
P0C5M1	2.94
P0C5M2	4.93
P0C5M3	4.7
P0C5M4	1.33
P0C5M5	0
P0C5M6	0
P0C5M7	1.58
P0C5M8	24.13
P0C5M9	1.17
P0C5N0	0
P0C5N1	3.77
P0C5N2	7.14
P0C5N3	23.37
P0C5N4	0
P0C5N5	2.94
P0C5N6	1.69
P0C5N7	1.72
P0C5N8	1.66
P0C5N9	1.36
P0C5P0	2.15
P0C5P1	21.05
P0C5P2	10.34
P0C5P3	0
P0C5P4	4
P0C5P5	0
P0C5P6	5.4
P0C5P7	5.26
P0C5P8	10.71
P0C5P9	0
P0C5Q0	6.52
P0C5Q1	0
P0C5Q2	0
P0C5Q3	0
P0C5Q4	1.35
P0C5Q5	3.12
P0C5Q6	0
P0C5Q7	4.16
P0C5Q8	2.08
P0C5Q9	9.09
P0C5R0	5.55
P0C5R1	2.89
P0C5R2	20.73
P0C5R3	0
P0C5R4	4.34
P0C5R5	1.16
P0C5R6	8.92
P0C5R7	0
P0C5R8	1.63
P0C5R9	4.7
P0C5S0	7.36
P0C5S1	0
P0CD90	25.5
P0CD91	17.7
P0CD97	18.05
P0CD98	5.92
P0CD99	15.27
P0CE00	14.28
P0CE11	10.04
P0CE41	51.53
P0CE68	14.77
P0CE69	10.13
P0CE85	29.03
P0CE86	20.73
P0CE87	20.73
P0CE88	28.33
P0CE89	28.33
P0CE90	27.5
P0CE91	27.5
P0CE92	27.5
P0CE93	27.5
P0CE96	0.87
P0CE97	0.87
P0CE98	0.87
P0CE99	0
P0CF00	0
