"uniprot_id"	"HI_bin"
"9392"	"Q15041"	"nHI"
"9394"	"P04424"	"nHI"
"9398"	"P58335"	"nHI"
"9412"	"Q8N5M1"	"nHI"
"9442"	"Q9UNE7"	"nHI"
"9464"	"P30038"	"nHI"
"9482"	"P30533"	"nHI"
"9513"	"P15391"	"nHI"
"9539"	"Q12882"	"nHI"
"9548"	"Q14117"	"nHI"
"9550"	"Q02246"	"nHI"
"9648"	"P43251"	"nHI"
"9658"	"P08236"	"nHI"
"9707"	"Q09428"	"nHI"
"9713"	"Q15067"	"nHI"
"9720"	"Q9GZX7"	"nHI"
"9783"	"Q00534"	"nHI"
"9805"	"P04080"	"nHI"
