string_id	string_id_alias	uniprot_alias
314	4932.YBR064W	YBR064W	YBR4
315	4932.YBR065C	ECM2	SLT11
316	4932.YBR066C	NRG2	NRG2
317	4932.YBR067C	TIP1	TIP1
318	4932.YBR068C	BAP2	BAP2
319	4932.YBR069C	TAT1	TAT1
320	4932.YBR070C	ALG14	ALG14
321	4932.YBR071W	YBR071W	YBS1
322	4932.YBR072W	HSP26	HSP26
323	4932.YBR073W	RDH54	RDH54
324	4932.YBR074W	PFF1	PFF1
325	4932.YBR076W	ECM8	ECM8
326	4932.YBR077C	SLM4	SLM4
327	4932.YBR078W	ECM33	ECM33
328	4932.YBR079C	RPG1	EIF3A
329	4932.YBR080C	SEC18	SEC18
330	4932.YBR081C	SPT7	SPT7
331	4932.YBR082C	UBC4	UBC4
332	4932.YBR083W	TEC1	TEC1
333	4932.YBR084C-A	RPL23A	YL14A
334	4932.YBR084W	MIS1	C1TM
335	4932.YBR085C-A	YBR085C-A	YB085
336	4932.YBR085W	AAC3	ADT3
337	4932.YBR086C	IST2	IST2
338	4932.YBR087W	RFC5	RFC5
339	4932.YBR088C	POL30	PCNA
340	4932.YBR089C-A	NHP6B	NHP6B
341	4932.YBR089W	YBR089W	YBT9
342	4932.YBR090C	YBR090C	YBU0
343	4932.YBR091C	TIM12	TIM12
344	4932.YBR092C	PHO3	PPA3
345	4932.YBR093C	PHO5	PPA5
346	4932.YBR094W	PBY1	TTL
347	4932.YBR095C	RXT2	RXT2
348	4932.YBR096W	YBR096W	YBU6
349	4932.YBR097W	VPS15	VPS15
350	4932.YBR098W	MMS4	MMS4
351	4932.YBR099C	YBR099C	YBU9
352	4932.YBR101C	FES1	FES1
353	4932.YBR102C	EXO84	EXO84
354	4932.YBR103C-A	YBR103C-A	YB103
355	4932.YBR103W	SIF2	SIF2
356	4932.YBR104W	YMC2	YMC2
357	4932.YBR105C	VID24	GID4
358	4932.YBR106W	PHO88	PHO88
359	4932.YBR107C	IML3	CENPL
360	4932.YBR108W	AIM3	AIM3
361	4932.YBR109C	CMD1	CALM
362	4932.YBR109W-A	YBR109W-A	YB09A
363	4932.YBR110W	ALG1	ALG1
364	4932.YBR111C	YSA1	ADPP
365	4932.YBR111W-A	SUS1	SUS1
366	4932.YBR112C	[OCT]	[OCT]
367	4932.YBR113W	YBR113W	YBW3
368	4932.YBR114W	RAD16	RAD16
369	4932.YBR115C	LYS2	LYS2
370	4932.YBR116C	YBR116C	YBW6
371	4932.YBR117C	TKL2	TKT2
372	4932.YBR118W	TEF2	EF1A
373	4932.YBR119W	MUD1	U1A
374	4932.YBR120C	CBP6	CBP6
375	4932.YBR121C	YBR121C	SYG
376	4932.YBR121C-A	YBR121C-A	YB121
377	4932.YBR122C	MRPL36	RM36
378	4932.YBR123C	TFC1	TFC1
379	4932.YBR124W	YBR124W	YBX4
380	4932.YBR125C	PTC4	PP2C4
381	4932.YBR126C	TPS1	TPS1
382	4932.YBR126W-A	MEO1	YB126
383	4932.YBR128C	ATG14	ATG14
384	4932.YBR129C	OPY1	OPY1
385	4932.YBR130C	SHE3	SHE3
386	4932.YBR131C-A	YBR131C-A	YB131
387	4932.YBR131W	CCZ1	CCZ1
388	4932.YBR132C	AGP2	AGP2
389	4932.YBR133C	HSL7	HSL7
390	4932.YBR134W	YBR134W	YBY4
391	4932.YBR135W	CKS1	CKS1
392	4932.YBR136W	MEC1	ATR
393	4932.YBR137W	YBR137W	YBY7
394	4932.YBR138C	YBR138C	YBY8
395	4932.YBR139W	YBR139W	YBY9
396	4932.YBR140C	IRA1	IRA1
397	4932.YBR141C	BMT2	BMT2
398	4932.YBR141W-A	YBR141W-A	YB141
399	4932.YBR142W	MAK5	MAK5
400	4932.YBR143C	SUP45	ERF1
401	4932.YBR144C	YBR144C	YBZ4
402	4932.YBR145W	ADH5	ADH5
403	4932.YBR146W	MRPS9	RT09
404	4932.YBR147W	RTC2	YPQ3
405	4932.YBR148W	YSW1	YSW1
406	4932.YBR149W	ARA1	ARA1
407	4932.YBR150C	TBS1	TBS1
408	4932.YBR151W	APD1	APD1
409	4932.YBR152W	SPP381	SP381
410	4932.YBR153W	RIB7	RIB7
411	4932.YBR154C	RPB5	RPC9
412	4932.YBR155W	CNS1	CNS1
413	4932.YBR156C	SLI15	SLI15
414	4932.YBR157C	ICS2	ICS2
415	4932.YBR158W	AMN1	AMN1
416	4932.YBR159W	KAR	MKAR
417	4932.YBR160W	CDC28	CDK1
418	4932.YBR161W	CSH1	CSH1
419	4932.YBR162C	TOS1	TOS1
420	4932.YBR162W-A	YSY6	YSY6
421	4932.YBR163W	EXO5	EXO5
422	4932.YBR164C	ARL1	ARL1
423	4932.YBR165W	UBS1	UBS1
424	4932.YBR167C	RPP2	POP7
425	4932.YBR168W	PEX32	PEX32
426	4932.YBR169C	HSP	HSP79
427	4932.YBR170C	NPL4	NPL4
428	4932.YBR171W	SEC66	SEC66
429	4932.YBR172C	SMY2	SMY2
430	4932.YBR173C	UMP1	UMP1
431	4932.YBR174C	YBR174C	YB24
432	4932.YBR175W	SWD3	SWD3
433	4932.YBR176W	ECM31	PANB
434	4932.YBR177C	EHT1	MCFS2
435	4932.YBR178W	YBR178W	YB28
436	4932.YBR179C	FZO1	FZO1
437	4932.YBR181C	YS4	YS4
438	4932.YBR182C	SMP1	SMP1
439	4932.YBR183W	YPC1	YPC1
440	4932.YBR184W	YBR184W	YB34
441	4932.YBR185C	MBA1	MBA1
442	4932.YBR186W	PCH2	PCH2
443	4932.YBR187W	GDT1	GDT1
444	4932.YBR188C	NTC20	NTC20
445	4932.YBR189W	S9B	YP28
446	4932.YBR190W	YBR190W	YB40
447	4932.YBR191W	RPL21A	RL21A
448	4932.YBR192W	RIM2	RIM2
449	4932.YBR193C	MED8	MED8
450	4932.YBR194W	AIM4	AIM4
451	4932.YBR195C	MSI1	MSI1
452	4932.YBR196C	YBR196C	GPI
453	4932.YBR196C-A	YBR196C-A	YB96A
454	4932.YBR196C-B	YBR196C-B	YB96B
455	4932.YBR197C	YBR197C	YB47
456	4932.YBR198C	TAF5	TAF5
457	4932.YBR199W	KTR4	KTR4
458	4932.YBR200W	YBR200W	BEM1
