string_id	string_symbol	uniprot_symbol	uniprot_alias	string_id_alias
192	9606.ENSP00000181796	NA	NA	FAM107B	9606.ENSP00000181796
193	9606.ENSP00000181839	NA	NA	CDK13	CDK13
194	9606.ENSP00000182290	NA	NA	TSPAN32	9606.ENSP00000182290
195	9606.ENSP00000182527	NA	NA	TRAM2	TRAM2
196	9606.ENSP00000183605	NA	NA	CLDN18	9606.ENSP00000183605
197	9606.ENSP00000184183	NA	NA	ROPN1	9606.ENSP00000184183
198	9606.ENSP00000184266	NA	NA	NDUFB4	B15
199	9606.ENSP00000184956	NA	NA	HEATR6	9606.ENSP00000184956
200	9606.ENSP00000185150	NA	NA	ERLEC1	CIM
201	9606.ENSP00000185206	NA	NA	CLIC5	CLIC5
202	9606.ENSP00000186436	NA	NA	CC28	TMEM131
203	9606.ENSP00000187762	NA	NA	TMEM38A	9606.ENSP00000187762
204	9606.ENSP00000188312	NA	NA	ARP6	ARP6
205	9606.ENSP00000188790	NA	NA	FAP	FAP
206	9606.ENSP00000190165	NA	NA	DMRT3	DMRT3
207	9606.ENSP00000192314	NA	NA	GAL3ST2	9606.ENSP00000192314
208	9606.ENSP00000192788	NA	NA	UHRF1BP1	9606.ENSP00000192788
209	9606.ENSP00000193322	NA	NA	OSTM1	OSTM1
210	9606.ENSP00000193391	NA	NA	IMPG2	IMPG2
211	9606.ENSP00000194130	NA	NA	NAS1	9606.ENSP00000194130
212	9606.ENSP00000194152	NA	NA	PCDHB4	9606.ENSP00000194152
213	9606.ENSP00000194155	NA	NA	PCDHB2	9606.ENSP00000194155
214	9606.ENSP00000194214	NA	NA	PP25	PP25
215	9606.ENSP00000194530	NA	NA	STRADB	9606.ENSP00000194530
216	9606.ENSP00000195455	NA	NA	AC1	AC1
217	9606.ENSP00000196061	NA	NA	PLOD1	PLOD1
218	9606.ENSP00000196371	NA	NA	OXCT1	SCOT
219	9606.ENSP00000196489	NA	NA	ZNF416	9606.ENSP00000196489
220	9606.ENSP00000197268	NA	NA	KIAA1467	9606.ENSP00000197268
221	9606.ENSP00000198536	NA	NA	PILRA	PILRA
222	9606.ENSP00000198767	NA	NA	RRN3	RRN3
223	9606.ENSP00000198801	NA	NA	MOGAT2	MGAT2
224	9606.ENSP00000199280	NA	NA	AQP2	AQP2
225	9606.ENSP00000199320	NA	NA	DIM1	DIMT1
226	9606.ENSP00000199389	NA	NA	HCR	HCR
227	9606.ENSP00000199447	NA	NA	NME8	9606.ENSP00000199447
228	9606.ENSP00000199448	NA	NA	EPDR1	9606.ENSP00000199448
229	9606.ENSP00000199706	NA	NA	MRPL28	9606.ENSP00000199706
230	9606.ENSP00000199708	NA	NA	HBQ1	9606.ENSP00000199708
231	9606.ENSP00000199764	NA	NA	NCA	NCA
232	9606.ENSP00000199814	NA	NA	RBM22	RBM22
233	9606.ENSP00000199936	NA	NA	HSD17B2	9606.ENSP00000199936
234	9606.ENSP00000200135	NA	NA	ZW10	ZW10
235	9606.ENSP00000200181	NA	NA	GP150	ITGB4
236	9606.ENSP00000200453	NA	NA	PPP1R15A	9606.ENSP00000200453
237	9606.ENSP00000200457	NA	NA	TRIP6	TRIP6
238	9606.ENSP00000200557	NA	NA	MDC	MDC
239	9606.ENSP00000200652	NA	NA	SLC22A4	9606.ENSP00000200652
240	9606.ENSP00000200676	NA	NA	CETP	CETP
241	9606.ENSP00000200691	NA	NA	GIF	GRIF
242	9606.ENSP00000201031	NA	NA	TFAP2C	ERF1
243	9606.ENSP00000201586	NA	NA	ST2B1	SULT2B1
244	9606.ENSP00000201647	NA	NA	DRC3	EPS8L1
245	9606.ENSP00000201979	NA	NA	REM1	REM1
246	9606.ENSP00000202017	NA	NA	PDRG1	PDRG1
247	9606.ENSP00000202556	NA	NA	ASPP1	PPP1R13B
248	9606.ENSP00000202625	NA	NA	TGM3L	TGM6
249	9606.ENSP00000202677	NA	NA	RALGAPA2	9606.ENSP00000202677
250	9606.ENSP00000202816	NA	NA	ESF1	ESF1
251	9606.ENSP00000202967	NA	NA	SIRT4	9606.ENSP00000202967
252	9606.ENSP00000203001	NA	NA	TRM6	TRMT6
253	9606.ENSP00000203407	NA	NA	UQCRC1	QCR1
254	9606.ENSP00000203556	NA	NA	GMIP	GMIP
255	9606.ENSP00000203629	NA	NA	LAG3	LAG3
256	9606.ENSP00000203630	NA	NA	NTN4	NTN4
257	9606.ENSP00000203664	NA	NA	OTUB2	OTUB2
258	9606.ENSP00000204517	NA	NA	TFAP4	TFAP4
259	9606.ENSP00000204549	NA	NA	PDCD7	PDCD7
260	9606.ENSP00000204566	NA	NA	SPG21	SPG21
261	9606.ENSP00000204604	NA	NA	CHRD	CHRD
262	9606.ENSP00000204615	NA	NA	TPO	TPO
263	9606.ENSP00000204679	NA	NA	GNPTG	GNPTG
264	9606.ENSP00000204726	NA	NA	GOLGA3	9606.ENSP00000204726
265	9606.ENSP00000204961	NA	NA	EFNB1	EFNB1
266	9606.ENSP00000205061	NA	NA	GLG1	9606.ENSP00000205061
267	9606.ENSP00000205143	NA	NA	DLL3	DLL3
268	9606.ENSP00000205194	NA	NA	NAT14	NAT14
269	9606.ENSP00000205214	NA	NA	AASDH	ACSF4
270	9606.ENSP00000205402	NA	NA	LAD	LAD
271	9606.ENSP00000205557	NA	NA	ARA	MRP6
272	9606.ENSP00000205636	NA	NA	CMTM6	9606.ENSP00000205636
273	9606.ENSP00000205890	NA	NA	MYO15A	MYO15
274	9606.ENSP00000205948	NA	NA	BG	BG
275	9606.ENSP00000206020	NA	NA	SPAG7	SPAG7
276	9606.ENSP00000206423	NA	NA	URB	URB
277	9606.ENSP00000206474	NA	NA	HAUS4	HAUS4
278	9606.ENSP00000206513	NA	NA	CRP1	CEBPE
279	9606.ENSP00000206542	NA	NA	OSGEP	OSGEP
280	9606.ENSP00000206595	NA	NA	G2E3	G2E3
281	9606.ENSP00000206765	NA	NA	TGM1	TGM1
282	9606.ENSP00000207157	NA	NA	TBX15	TBX15
283	9606.ENSP00000207457	NA	NA	TEKT2	TEKT2
284	9606.ENSP00000207549	NA	NA	FHL3	FHL3
285	9606.ENSP00000207870	NA	NA	XYLB	XYLB
286	9606.ENSP00000209540	NA	NA	OR1I1	OR1I1
287	9606.ENSP00000209668	NA	NA	ADH1A	ADH1A
288	9606.ENSP00000209718	NA	NA	K23	KRT23
289	9606.ENSP00000209728	NA	NA	CDC6	CDC6
290	9606.ENSP00000209873	NA	NA	AAAS	AAAS
291	9606.ENSP00000209875	NA	NA	HP1	HP1
292	9606.ENSP00000209884	NA	NA	KLHL20	9606.ENSP00000209884
293	9606.ENSP00000209929	NA	NA	FMO2	FMO2
294	9606.ENSP00000210060	NA	NA	DS	DS
295	9606.ENSP00000210187	NA	NA	RAB26	RAB26
296	9606.ENSP00000210313	NA	NA	S5B	S5B
297	9606.ENSP00000210444	NA	NA	SAS	SAS
298	9606.ENSP00000210633	NA	NA	SEMA4G	9606.ENSP00000210633
299	9606.ENSP00000211076	NA	NA	TPSD1	9606.ENSP00000211076
300	9606.ENSP00000211122	NA	NA	GSTA3	GSTA3
301	9606.ENSP00000211287	NA	NA	MAPK13	9606.ENSP00000211287
302	9606.ENSP00000211314	NA	NA	TMEM14A	9606.ENSP00000211314
303	9606.ENSP00000211413	NA	NA	PRRT1	PRRT1
304	9606.ENSP00000211936	NA	NA	ZNF184	9606.ENSP00000211936
305	9606.ENSP00000211998	NA	NA	VCL	MV
306	9606.ENSP00000212015	NA	NA	SIR2	SIRT1
307	9606.ENSP00000212355	NA	NA	TGFBR3	9606.ENSP00000212355
308	9606.ENSP00000214869	NA	NA	TMED1	TMED1
309	9606.ENSP00000215057	NA	NA	ZNF42	MZF1
310	9606.ENSP00000215061	NA	NA	OCEL1	OCEL1
311	9606.ENSP00000215071	NA	NA	S14	S14
312	9606.ENSP00000215095	NA	NA	STX1B	STX1B
313	9606.ENSP00000215368	NA	NA	EFNA2	EFNA2
314	9606.ENSP00000215375	NA	NA	ATP5D	513
315	9606.ENSP00000215530	NA	NA	FGF22	FGF22
316	9606.ENSP00000215531	NA	NA	SMIM24	9606.ENSP00000215531
317	9606.ENSP00000215565	NA	NA	B18	B18
318	9606.ENSP00000215567	NA	NA	TER	TER
319	9606.ENSP00000215570	NA	NA	TIM13	TIMM13
320	9606.ENSP00000215574	NA	NA	CDC34	9606.ENSP00000215574
321	9606.ENSP00000215582	NA	NA	MISP	MISP
322	9606.ENSP00000215631	NA	NA	GADD45B	9606.ENSP00000215631
323	9606.ENSP00000215637	NA	NA	MADCAM1	9606.ENSP00000215637
324	9606.ENSP00000215659	NA	NA	MAPK12	9606.ENSP00000215659
325	9606.ENSP00000215727	NA	NA	SERPIND1	LS2
326	9606.ENSP00000215730	NA	NA	SNAP29	9606.ENSP00000215730
327	9606.ENSP00000215739	NA	NA	NS2	NS2
328	9606.ENSP00000215742	NA	NA	THAP7	THAP7
329	9606.ENSP00000215743	NA	NA	ST3	ST3
330	9606.ENSP00000215754	NA	NA	MIF	MIF
331	9606.ENSP00000215770	NA	NA	DDTL	DDTL
332	9606.ENSP00000215781	NA	NA	OSM	OSM
333	9606.ENSP00000215793	NA	NA	SF3A1	SF3A1
334	9606.ENSP00000215794	NA	NA	UBP43	USP18
335	9606.ENSP00000215812	NA	NA	TAP2	TAP2
336	9606.ENSP00000215829	NA	NA	SNRPD3	SMD3
337	9606.ENSP00000215832	NA	NA	MAPK1	MAPK2
338	9606.ENSP00000215838	NA	NA	TCN2	TC2
339	9606.ENSP00000215855	NA	NA	CRYBB3	9606.ENSP00000215855
340	9606.ENSP00000215862	NA	NA	MORC2	MORC2
341	9606.ENSP00000215882	NA	NA	SLC25A1	SEA
342	9606.ENSP00000215885	NA	NA	PLA2G3	9606.ENSP00000215885
343	9606.ENSP00000215886	NA	NA	LGALS2	9606.ENSP00000215886
344	9606.ENSP00000215904	NA	NA	PLP	PLPP
345	9606.ENSP00000215906	NA	NA	ASPHD2	9606.ENSP00000215906
346	9606.ENSP00000215909	NA	NA	LGALS1	HPL
347	9606.ENSP00000215912	NA	NA	HGFL	PIK3IP1
348	9606.ENSP00000215917	NA	NA	SRR1L	SRRD
349	9606.ENSP00000215939	NA	NA	CRYBB1	9606.ENSP00000215939
350	9606.ENSP00000215941	NA	NA	ANKRD54	9606.ENSP00000215941
351	9606.ENSP00000215957	NA	NA	MICALL1	9606.ENSP00000215957
352	9606.ENSP00000215980	NA	NA	CENPM	CENPM
353	9606.ENSP00000216024	NA	NA	DMC1	DMC1
354	9606.ENSP00000216027	NA	NA	HSCB	HSC20
355	9606.ENSP00000216034	NA	NA	TOM22	TOMM22
356	9606.ENSP00000216036	NA	NA	RTDR1	9606.ENSP00000216036
357	9606.ENSP00000216037	NA	NA	XBP1	XBP1
358	9606.ENSP00000216038	NA	NA	RTCB	RTCB
359	9606.ENSP00000216039	NA	NA	JOSD1	9606.ENSP00000216039
360	9606.ENSP00000216044	NA	NA	GP1	GP1
361	9606.ENSP00000216068	NA	NA	DNAL4	DNAL4
362	9606.ENSP00000216071	NA	NA	C22orf31	9606.ENSP00000216071
363	9606.ENSP00000216075	NA	NA	MIOX	MIOX
364	9606.ENSP00000216085	NA	NA	RHBDD3	9606.ENSP00000216085
365	9606.ENSP00000216099	NA	NA	ARP6	ARP6
366	9606.ENSP00000216101	NA	NA	RASL10A	9606.ENSP00000216101
367	9606.ENSP00000216106	NA	NA	HMGXB4	9606.ENSP00000216106
368	9606.ENSP00000216115	NA	NA	BP4	BP4
369	9606.ENSP00000216117	NA	NA	HO1	HO1
370	9606.ENSP00000216121	NA	NA	NIPSNAP1	9606.ENSP00000216121
371	9606.ENSP00000216122	NA	NA	MCM5	MCM5
372	9606.ENSP00000216124	NA	NA	MLD	ASA
373	9606.ENSP00000216127	NA	NA	RASD2	9606.ENSP00000216127
374	9606.ENSP00000216129	NA	NA	TTLL12	9606.ENSP00000216129
375	9606.ENSP00000216133	NA	NA	CBX7	CBX7
376	9606.ENSP00000216139	NA	NA	ACR	ACR
377	9606.ENSP00000216144	NA	NA	CABP7	CABP7
378	9606.ENSP00000216160	NA	NA	TAB1	TAB1
379	9606.ENSP00000216177	NA	NA	PNPLA5	9606.ENSP00000216177
380	9606.ENSP00000216180	NA	NA	PNPLA3	9606.ENSP00000216180
381	9606.ENSP00000216181	NA	NA	MYH9	MYH9
382	9606.ENSP00000216185	NA	NA	TXN2	TXN2
383	9606.ENSP00000216190	NA	NA	EIF3D	EIF3D
384	9606.ENSP00000216200	NA	NA	PVALB	9606.ENSP00000216200
385	9606.ENSP00000216211	NA	NA	UPK3A	UPK3A
386	9606.ENSP00000216214	NA	NA	FAM118A	9606.ENSP00000216214
387	9606.ENSP00000216218	NA	NA	ST13	ST13
388	9606.ENSP00000216223	NA	NA	IL2RB	IL2RB
389	9606.ENSP00000216225	NA	NA	ROC1	RBX1
390	9606.ENSP00000216237	NA	NA	L3MBTL2	9606.ENSP00000216237
391	9606.ENSP00000216241	NA	NA	CHADL	CHADL
392	9606.ENSP00000216252	NA	NA	PHF5A	PHF5A
393	9606.ENSP00000216254	NA	NA	ACO2	ACO2
394	9606.ENSP00000216259	NA	NA	PMM1	PMM1
395	9606.ENSP00000216264	NA	NA	LK4	LK4
396	9606.ENSP00000216267	NA	NA	BRPF1	BRPF1
397	9606.ENSP00000216268	NA	NA	ZBED4	ZBED4
398	9606.ENSP00000216271	NA	NA	HDAC10	HD10
399	9606.ENSP00000216274	NA	NA	RIPK3	RIPK3
400	9606.ENSP00000216277	NA	NA	PAPOLA	PAP
401	9606.ENSP00000216286	NA	NA	NID2	NID2
402	9606.ENSP00000216294	NA	NA	SNAPC1	9606.ENSP00000216294
403	9606.ENSP00000216297	NA	NA	SPT16	SUPT16H
404	9606.ENSP00000216330	NA	NA	FKBP3	FKBP3
405	9606.ENSP00000216336	NA	NA	CG	CTSG
406	9606.ENSP00000216338	NA	NA	GZMH	9606.ENSP00000216338
407	9606.ENSP00000216341	NA	NA	SECT	HLP
408	9606.ENSP00000216366	NA	NA	AP4S1	AP4S1
409	9606.ENSP00000216367	NA	NA	POLE2	9606.ENSP00000216367
410	9606.ENSP00000216373	NA	NA	SOS2	SOS2
411	9606.ENSP00000216392	NA	NA	PYGL	PYGL
412	9606.ENSP00000216410	NA	NA	GNPNAT1	GNA1
413	9606.ENSP00000216416	NA	NA	CNIH1	CNIH1
414	9606.ENSP00000216420	NA	NA	CGRRF1	9606.ENSP00000216420
415	9606.ENSP00000216442	NA	NA	ATP6V1D	VATD
416	9606.ENSP00000216446	NA	NA	PLEK2	PLEK2
417	9606.ENSP00000216452	NA	NA	PIGH	PIGH
418	9606.ENSP00000216455	NA	NA	PSMA3	HC8
419	9606.ENSP00000216465	NA	NA	MAI	MAI
420	9606.ENSP00000216468	NA	NA	TMED8	TMED8
421	9606.ENSP00000216471	NA	NA	SAMD15	9606.ENSP00000216471
422	9606.ENSP00000216479	NA	NA	P38	P38
423	9606.ENSP00000216484	NA	NA	SPTLC2	SPT2
424	9606.ENSP00000216487	NA	NA	RIN3	RIN3
425	9606.ENSP00000216489	NA	NA	ALKBH1	ABH1
426	9606.ENSP00000216492	NA	NA	CGA	CHGA
